SCANNED ID,MODEL,COLOR,Front Value,Front Grade,front manual,Back Value,Back Grade,back manual,Left Value,Left Grade,left manual,Right Value,Right Grade,right manual,Top Value,Top Grade,top manual,Bottom Value,Bottom Grade,bottom manual,Final Value,Final Grade
355980285854497,iPhone 13 Pro Max,Blue,260,C,D,30,A,A,80,C,C,75,C,C,55,B,C,75,C,C,575,C
355980287126217,iPhone 13 Pro Max,GRAPHITE,335,C,C,85,B,A,75,C,B,80,C,B,75,C,A,75,C,C,725,C
355980287734416,iPhone 13 Pro Max,GRAPHITE,65,B,C,100,B,A,75,C,C,80,C,C,75,C,C,40,B,C,435,C
355980288263779,iPhone 13 Pro Max,GOLD,960,C,D,45,B,B,75,C,B,75,C,B,65,B,B,55,B,C,1275,C
357624694644143,iPhone 13 Pro Max,GRAPHITE,365,C,C,1075,C,C,85,C,C,75,C,C,75,C,C,80,C,C,1755,C
357624694644143,iPhone 13 Pro Max,GRAPHITE,1785,C,C,1075,C,C,80,C,C,80,C,C,75,C,C,80,C,C,3175,C
357624696101233,iPhone 13 Pro Max,GRAPHITE,50,B,A,830,C,C,80,C,C,80,C,C,75,C,C,80,C,C,1195,C
357624696101233,iPhone 13 Pro Max,GRAPHITE,90,B,A,810,C,C,80,C,C,80,C,C,75,C,C,80,C,C,1215,C
357624698357403,iPhone 13 Pro Max,Blue,110,B,C,790,C,C,80,C,C,80,C,C,75,C,C,80,C,C,1215,C
357624698426992,iPhone 13 Pro Max,GOLD,695,C,B,460,C,C,80,C,C,80,C,C,75,C,C,45,B,C,1435,C
358805900034513,iPhone 13 Pro Max,GRAPHITE,90,B,A,50,B,A,75,C,C,80,C,C,75,C,C,55,B,C,425,C
358900783168288,iPhone 13 Pro Max,GRAPHITE,720,C,C,365,C,C,75,C,C,75,C,C,75,C,D,65,B,C,1375,C
358900783354714,iPhone 13 Pro Max,GOLD,770,C,C,55,B,B,85,C,C,80,C,C,75,C,C,75,C,C,1140,C
358900784576273,iPhone 13 Pro Max,Blue,830,C,B,820,C,C,55,B,C,80,C,D,55,B,C,75,C,C,1915,C
358900785405134,iPhone 13 Pro Max,Blue,2405,C,A,13565,C,B,80,C,C,75,C,D,75,C,C,70,B,C,16270,C
358900785518076,iPhone 13 Pro Max,GOLD,45,B,C,490,C,C,80,C,C,65,B,C,75,C,C,75,C,C,830,C
358900785518076,iPhone 13 Pro Max,GOLD,210,C,C,570,C,C,75,C,C,75,C,C,30,B,C,55,B,C,1015,C
358900786611680,iPhone 13 Pro Max,Blue,40,B,C,55,B,D,85,C,C,80,C,C,75,C,C,75,C,C,410,C
358900787165736,iPhone 13 Pro Max,GRAPHITE,220,C,A,175,B,A,75,C,C,80,C,C,75,C,C,55,B,C,680,C
358900787165736,iPhone 13 Pro Max,GRAPHITE,65,B,A,180,C,A,75,C,C,75,C,C,75,C,C,55,B,C,525,C
358900787482693,iPhone 13 Pro Max,GOLD,4030,C,D,65,B,A,80,C,C,80,C,B,75,C,A,75,C,C,4405,C
358900789917340,iPhone 13 Pro Max,Silver,5625,C,D,435,C,D,75,C,C,80,C,C,55,B,C,55,B,C,6325,C
359577624330886,iPhone 13 Pro Max,Blue,715,C,B,60,B,C,90,C,D,80,C,D,75,C,C,75,C,C,1095,C
359577626795300,iPhone 13 Pro Max,Green,190,C,A,55,B,B,85,C,C,80,C,C,75,C,C,40,B,C,525,C
359577628858254,iPhone 13 Pro Max,Blue,3425,C,D,915,C,B,40,B,C,75,C,C,10,A,C,75,C,C,4540,C
359646704194817,iPhone 13 Pro Max,GRAPHITE,765,C,A,755,C,D,85,C,C,80,C,C,75,C,C,75,C,D,1835,C
359646704867784,iPhone 13 Pro Max,GRAPHITE,2430,C,A,585,C,C,85,C,B,75,C,B,75,C,C,85,C,C,3335,C
